Title,Company,Location,Posted Date,Job Link,Description
"Data Scientist, Fundamental Sector Data",CPP Investments | Investissements RPC,"New York, NY",2025-04-15,https://www.linkedin.com/jobs/view/data-scientist-fundamental-sector-data-at-cpp-investments-investissements-rpc-4209335601?position=17&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=KWOr9V5NQasG2Uolk5Mc8w%3D%3D,"Company Description

Make an impact at a global and dynamic investment organization

When you join CPP Investments, you are joining one of the world’s most admired and respected institutional investors. As a professional investment management organization, CPP Investments invests the funds of the Canada Pension Plan (CPP) to help ensure its financial sustainability for generations of working and retired Canadians.

CPP Investments invests across regions and asset classes to build a globally diversified portfolio. It holds assets in public equity, private equity, real estate, infrastructure, and fixed income, and the CPP Fund is projected to reach $3.6 trillion in assets by 2050. The organization is headquartered in Toronto with offices in Hong Kong, London, Mumbai, New York City, San Francisco, São Paulo, and Sydney.

CPP Investments successfully attracts, selects, and retains talented individuals from top-tier institutions worldwide. Join our team for access to:



If you have a passion for performance, value a collegial and collaborative culture, and approach work with the highest integrity, invest your career here.





The Active Equities North America Group (“AE-NA”) within the Active Equities department invests in mid-large market capitalization public equities in North America. The strategy employs bottom-up and deep fundamental research insights to create a concentrated beta-neutral portfolio of high conviction long and short investments. The Investment Research team identifies opportunities to utilize alternative datasets to inform fundamental investment questions posed by sector specific investment teams.

Reporting to the Portfolio Manager of the Investment Research team, the Senior Associate is responsible for identifying applicable data and conducting analytical experiments to isolate the drivers of current and future business performance of companies under coverage. The position is based in New York.



Role-specific accountabilities include:









The salary range for this position is $185,000 - 245,000.

US state/city legislation requires CPP investments to include a reasonable estimate of the compensation range for this role. The base salary range shown here is a reasonable expectation for the posted role and is part of a competitive total rewards package which includes comprehensive benefits, a performance-based incentive plan, a 401 (k) plan and paid time off. Actual salaries may vary and may be above or below the range based on various factors, including, but not limited to, experience and expertise.

Visit our or on

At CPP Investments, we are committed to diversity and equitable access to employment opportunities based on ability.

We thank all applicants for their interest but will only contact candidates selected to advance in the hiring process.



In addition to being dedicated to building a workforce that reflects diverse talent, we are committed to fostering an inclusive and accessible experience. If you require an accommodation for any part of the recruitment process (including alternate formats of materials, accessible meeting rooms, etc.), please let us know and we will work with you to meet your needs.



CPP Investments does not accept resumes from employment placement agencies, head-hunters or recruitment suppliers that are not in a formal contractual arrangement with us. Our recruitment supplier arrangements are restricted to specific hiring needs and do not include this or other web-site job postings. Any resume or other information received from a supplier not approved by CPP Investments to provide resumes to this posting or web-site will be considered unsolicited and will not be considered. CPP Investments will not pay any referral, placement or other fee for the supply of such unsolicited resumes or information."
Scientist to Data Scientist,Patreon,"San Francisco, CA",2025-04-09,https://www.linkedin.com/jobs/view/scientist-to-data-scientist-at-patreon-4203694019?position=18&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=2fqdwiVbolqpXNYvp1zBog%3D%3D,"Patreon is the best place for creators to build memberships by providing exclusive access to their work and a deeper connection with their communities. We’re building a content and community platform where creators can engage directly with their fans and monetize their creativity, while maintaining full ownership over the work they make and the communities they create."
"decision scientist, Coffeehouse Staffing, Scheduling & Analytics",Starbucks,"Seattle, WA",2025-04-26,https://www.linkedin.com/jobs/view/decision-scientist-coffeehouse-staffing-scheduling-analytics-at-starbucks-4215283855?position=19&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=vYX54oOf80vQrxfErlqdrw%3D%3D,"Now Brewing – Decision Scientist – Coffeehouse Staffing, Scheduling & Analytics ! #tobeapartner

From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.

Imagine a world where every decision is a carefully crafted narrative, where data isn't just numbers but a story waiting to be told. As a Decision Scientist at Starbucks, you will be the storyteller, weaving insights that shape the very fabric of our business. Your role will be pivotal in ensuring our stores are not just staffed, but harmoniously orchestrated to deliver unparalleled customer experiences.

Your mission? To infuse analytics into the heartbeat of our labor operations, fostering a culture where data-driven decisions are the norm, not the exception. You will be the architect of this transformation, embedding a mindset that values precision and insight. And through it all, you will embody the guiding principles of Starbucks, modeling behaviors that inspire and lead.









From free coffee to competitive pay, Starbucks is proud to offer a comprehensive compensation and benefits package to our eligible part-time and full-time partners. Benefits include 100% tuition coverage through our , health coverage with a variety of plans to choose from, and stock & savings programs like our equity reward program, . What’s more, Starbucks offers flexible scheduling and opportunities for paid time off. Visit starbucksbenefits.com for details.



As a Starbucks partner, you (and your family) will have access to medical, dental, vision, basic and supplemental life insurance, and other voluntary insurance benefits. Partners have access to short-term and long-term disability, paid parental leave, family expansion reimbursement, paid vacation from date of hire*, sick time (accrued at 1 hour for every 25 hours worked), eight paid holidays, and two personal days per year. Starbucks also offers eligible partners participation in a 401(k) retirement plan with employer match, a discounted company stock program (S.I.P.), Starbucks equity program (Bean Stock), incentivized emergency savings, and financial well-being tools. Additionally, Starbucks offers 100% upfront tuition coverage for a first-time bachelor’s degree through Arizona State University’s online program via the Starbucks College Achievement Plan, student loan management resources, and access to other educational opportunities. You will also have access to backup care and DACA reimbursement. Starbucks will comply with any applicable state and local laws regarding employee leave benefits, including, but not limited to providing time off pursuant to the Colorado Healthy Families and Workplaces Act, and in accordance with its plans and policies. This list is subject to change depending on collective bargaining in locations where partners have a certified bargaining representative. For additional information regarding partner perks and more detailed information about benefits, go to starbucksbenefits.com.



The actual base pay offered to the successful candidate will be based on multiple factors, including but not limited to job-related knowledge/skills, experience, geographical location, and internal equity. At Starbucks, it is not typical for an individual to be hired at the high end of the range for their role, and compensation decisions are dependent upon the facts and circumstances of each position and candidate."
Data Scientist,Walgreens,"Deerfield, IL",2025-04-25,https://www.linkedin.com/jobs/view/data-scientist-at-walgreens-4206528274?position=20&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=7a%2BCrB4T1Y7R%2FVRqapoLjw%3D%3D,"Job Summary

Applies advanced data analysis tools and techniques to provide insights and actionable recommendations for the business. Utilizes complex statistical modeling to make predictions about future outcomes and in multiple scenarios. May explain findings to business audience.







Founded in 1901, Walgreens (www.walgreens.com) has a storied heritage of caring for communities for generations and proudly serves nearly 9 million customers and patients each day across its approximately 8,500 stores throughout the U.S. and Puerto Rico, and leading omni channel platforms. Walgreens has approximately 220,000 team members, including nearly 90,000 healthcare service providers, and is committed to being the first choice for retail pharmacy and health services, building trusted relationships that create healthier futures for customers, patients, team members and communities.

Walgreens is the flagship U.S. brand of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader. Its retail locations are a critical point of access and convenience in thousands of communities, with Walgreens pharmacists playing a greater role as part of the healthcare system and patients care teams than ever before. Walgreens Specialty Pharmacy provides critical care and pharmacy services to millions of patients with rare disease states and complex, chronic conditions.

The actual salary an employee can expect to receive, plus bonus pursuant to the terms of any bonus plan if applicable, will depend on experience, seniority, geographic location, and other factors permitted by law. To review benefits, please visit jobs.walgreens.com/benefits More Company information is available at www.walgreensbootsalliance.com.



We will consider employment of qualified applicants with arrest and conviction records. $98600 - $157500 / Salaried









We will consider employment of qualified applicants with arrest and conviction records."
Research Scientist,IBM,"Yorktown Heights, NY",2025-04-17,https://www.linkedin.com/jobs/view/research-scientist-at-ibm-4209157110?position=21&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=qNEqH5mnHpF9Yxh1NqQFmw%3D%3D,"Introduction

Research Scientists at IBM drive the leading edge of quantum computing technologies with the industry’s most advanced hardware and software. Join an elite team of experimentalists in quantum computing building a path towards scalable fault tolerant quantum computation.



A successful candidate will have a strong understanding of the impact of junction process and material defects on the stability and resistance tunability of Josephson junctions. The candidate will be able to coordinate and design experiments to identify processes for improvement of qubit coherence and identify yield detractors during laser/thermal annealing of multi-qubit quantum processors. The candidate is expected to disseminate research results through impactful patents and publications and represent IBM in professional and academic meetings and societies.



Doctorate Degree"
Machine Learning Engineer (L5) - Content and Studio,Netflix,United States,2025-04-14,https://www.linkedin.com/jobs/view/machine-learning-engineer-l5-content-and-studio-at-netflix-4209890416?position=22&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=ikm2ClRtg3QZwD4G8qVXVg%3D%3D,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

We are looking for an experienced ML engineer to develop, optimize, and deploy scalable ML solutions that enable self-service of analytics of both structured and unstructured data.

This role will be part of the Studio Production Data Science & Engineering team, focusing on enterprise productivity. The team is dedicated to developing and deploying analytical insights, as well as machine learning tools and models, to enhance strategy and decision-making within the Netflix Studio and beyond. By leveraging data science and engineering, the team aims to inform, support, and automate processes to drive efficiency and innovation









Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $150,000 - $750,000.

Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Job is open for no less than 7 days and will be removed when the position is filled."
Data Scientist,Two Sigma,"New York, United States",2025-04-17,https://www.linkedin.com/jobs/view/data-scientist-at-two-sigma-4209153448?position=23&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=6nSbOrKMpTF7sHlDAJdJDA%3D%3D,"Position Summary

Two Sigma is a financial sciences company, combining data analysis, invention, and rigorous inquiry to help solve the toughest challenges in investment management, insurance technology, securities, private equity, and venture capital.

Our team of scientists, technologists, and academics looks beyond the traditional to develop creative solutions to some of the world’s most complex economic problems.

When you work with us, you tackle tough problems alongside other scientists and engineers. People who will challenge your ideas. Who you can really learn from, and collaborate with. And you’ll be doing work that matters to a lot of people, too. Our investors include some of the world’s largest retirement funds, research institutions, educational endowments, healthcare systems and foundations. We admire what they do, and we’re proud to serve these organizations.













The base pay for this role will be between $165,000 and $300,000. This role may also be eligible for other forms of compensation and benefits, such as a discretionary bonus, health, dental and other wellness plans and 401(k) contributions. Discretionary bonus can be a significant portion of total compensation. Actual compensation for successful candidates will be carefully determined based on a number of factors, including their skills, qualifications and experience.

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.

Two Sigma is committed to providing reasonable accommodations to qualified individuals in accordance with applicable federal, state, and local laws.

If you believe you need an accommodation, please visit our website for additional information."
Associate Basketball Developer,Los Angeles Lakers,"El Segundo, CA",2025-04-25,https://www.linkedin.com/jobs/view/associate-basketball-developer-at-los-angeles-lakers-4217611137?position=24&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=HGWfQTlGF2EU8vgDCWB5xg%3D%3D,"In order to be considered for this role, after clicking ""Apply Now"" above and being redirected, you must fully complete the application process on the follow-up screen.

Job Title: Associate Basketball Developer

Basketball Data Strategy, Basketball Operations

Senior Basketball Developer & Analyst

N/A

The primary responsibility of the Associate Basketball Developer, Basketball Data Strategy is to create interactive tools, extract insights, and communicate results for various sub-departments within Basketball Operations, including but not limited to front office, coaching, scouting, and training staff. This role requires comfort in the full stack of necessary technologies to ingest, analyze, create a narrative around, and communicate data to the relevant end-users. In addition, the role requires significant self-motivation to learn new skills and apply innovative techniques & visualizations to ongoing work. The Basketball Developer will work under and alongside the Senior Basketball Developer & Analyst to learn infrastructure, best practices, and departmental design language in creating new tools.

















El Segundo (offices M-F), occasional off-site events, Crypto.com Arena for Lakers home games when necessary

Less than 10% of the time (league events, etc.)

Regular office hours (9am – 5:30pm M-F) with flexible work from home allowances within reason; must be available to work evenings, weekends, and holidays as required within reason (e.g. when team has a game)

The pay range for this role is $80,000 to $90,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience and certifications.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, disability, gender identity, marital or veteran status, or any other protected class."
Data Scientist 1,PayPal,"Chicago, IL",2025-04-19,https://www.linkedin.com/jobs/view/data-scientist-1-at-paypal-4204620975?position=25&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=jvFowCzszCogPDcowqk4hg%3D%3D,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.

We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.

Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.


We are looking for a Data Scientist with a positive attitude, an awesome team player, a customer champion, a rock star in preventing online fraud who has a data driven mindset that can help upscale our risk detection capabilities and provide innovative solutions based on automation, efficiency and accuracy in a high energy, fast paced, ever evolving environment.















PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $72700 to $176000

For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations.



At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com



To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx



PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.



Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal.

Any general requests for consideration of your skills, please Join our Talent Community.

We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply.

REQ ID R0124835"
Machine Learning Engineer,Meta,San Francisco Bay Area,2025-04-08,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-meta-4204526868?position=26&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=UW4SCfw4mThXaNvWmS6IbQ%3D%3D,"Meta is embarking on the most transformative change to its business and technology in company history, and our Machine Learning Engineers are at the forefront of this evolution. By leading crucial projects and initiatives that have never been done before, you have an opportunity to help us advance the way people connect around the world."
